name,attributes_cyl_path,agency_maint,inc_crc,fmel_upd_d,length_m,longitude,latitude
kml_77,Marina Bay,LTA (Others),22B7F0FFF7AA9632,2022-02-16 13:57:18,33.67643183657039,103.8576036231315,1.2763331044511301
kml_78,Marina Bay,LTA (Others),1FFB3BB93388F46E,2022-02-16 13:57:18,47.021038938613486,103.8575083884605,1.2765620457729248
kml_79,Marina Bay,LTA (Others),D7D18188B9303378,2022-02-16 13:57:18,35.11168893279168,103.8572434757515,1.27653132111686
kml_80,Marina Bay,LTA (Others),35D6F753AFC20D7C,2022-02-16 13:57:18,27.691106969561382,103.85698401964001,1.27898329096239
kml_81,Marina Bay,LTA (Others),5F172A253E85BA60,2022-02-16 13:57:18,40.887916036195676,103.85721050096649,1.278983292013965
kml_82,Marina Bay,LTA (Others),07A68089DB1F26FF,2022-02-16 13:57:18,30.027449589771567,103.8572979248455,1.278763499784815
kml_83,Marina Bay,LTA (Others),2B71CA29B07C3BF6,2022-02-16 13:57:18,44.25511379439713,103.857071443519,1.27876349873324
kml_84,Marina Bay,LTA (Others),F750B548DA546F81,2022-02-16 13:57:18,50.386969475852936,103.858333628705,1.277849522872705
kml_85,Marina Bay,LTA (Others),4D39069B5F83512F,2022-02-16 13:57:18,37.53986971563989,103.858615853356,1.277890952671505
kml_86,Marina Bay,LTA (Others),69958A76C81AB670,2022-02-16 13:57:18,42.56864543742208,103.8582481754085,1.2781104479012102
kml_87,Marina Bay,LTA (Others),DBFCCA145CA10D53,2022-02-16 13:57:18,44.88646610234551,103.8585304000595,1.2781518777000103
kml_88,Sembawang,LTA (Others),C9A057A004C8A9B1,2022-02-16 13:57:18,31.935659588451507,103.83113965483301,1.4448657197136598
kml_89,Bishan,LTA (Others),D3207D4112C0F62C,2022-02-16 13:57:18,6.634106779209846,103.8506139497525,1.35326724571124
kml_90,Bishan,Land Transport Authority,FA0BDB66F4B6DF09,2022-02-16 13:57:18,94.00732198353572,103.85103659545675,1.3533193088673958
kml_91,Sembawang,LTA (Others),803622EE91AFE313,2022-02-16 13:57:18,24.555394835779115,103.833544881234,1.44650778026342
kml_92,Sembawang,LTA (Others),A70892ECF973B0B0,2022-02-16 13:57:18,19.158408743458065,103.8333691402845,1.4464750952132102
kml_93,Sembawang,LTA (Others),6848E2ADF21BFB46,2022-02-16 13:57:18,22.872390202904366,103.82977403746051,1.44382551205632
kml_94,Sembawang,LTA (Others),EB78B648C45A1F7E,2022-02-16 13:57:18,26.9101455911511,103.8296183725245,1.443972157095315
