Attributes STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,last_updated,longitude,latitude
SERANGOON MRT STATION,Exit D,AF9B4A2ED6E87545,20230127204435,2023-01-27 20:44:35,103.874321946576,1.3499015921065
SERANGOON MRT STATION,Exit C,29231A6BE44BC0C3,20230127204435,2023-01-27 20:44:35,103.873694014498,1.35059510442143
SERANGOON MRT STATION,Exit F,C1B3F5AC67211832,20230127204435,2023-01-27 20:44:35,103.871449340349,1.35094827793695
LORONG CHUAN MRT STATION,Exit B,F22EC9809EB9F243,20230127204435,2023-01-27 20:44:35,103.862918299956,1.35173853791277
LORONG CHUAN MRT STATION,Exit A,28A9382A30C8CE74,20230127204435,2023-01-27 20:44:35,103.864933673465,1.35143910357514
MARYMOUNT MRT STATION,Exit B,00445EC81B4CF09B,20230127204435,2023-01-27 20:44:35,103.840058918077,1.34786607217308
MARYMOUNT MRT STATION,Exit A,D6F8DA032170A0CA,20230127204435,2023-01-27 20:44:35,103.839087956801,1.34898038642137
DHOBY GHAUT MRT STATION,Exit C,D718E6930765A66B,20230127204435,2023-01-27 20:44:35,103.844747857191,1.29964924216132
CALDECOTT MRT STATION,Exit 1,B27228AA1D3CABE9,20230127204435,2023-01-27 20:44:35,103.839406731225,1.33710531669564
EXPO MRT STATION,Exit A,FD3508562E82B730,20230127204435,2023-01-27 20:44:35,103.961942958226,1.33532172433891
EXPO MRT STATION,Exit B,697283586E726E3F,20230127204435,2023-01-27 20:44:35,103.962075287596,1.33525294423695
ADMIRALTY MRT STATION,Exit B,37905A3114C1A244,20230127204435,2023-01-27 20:44:35,103.800533463258,1.44015239674676
ADMIRALTY MRT STATION,Exit D,746E9DB47E3B63DD,20230127204435,2023-01-27 20:44:35,103.801364534451,1.4405333880723
ANG MO KIO MRT STATION,Exit C,65B35A9BB66315DF,20230127204435,2023-01-27 20:44:35,103.849343273705,1.3694405305965
BAYFRONT MRT STATION,Exit A,9446A698C2D12F17,20230127204435,2023-01-27 20:44:35,103.85873192474,1.28096742397164
