Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SUNGLADE,"1,250,000","1,044.11","1,197",May-21,SERANGOON AVENUE 2,Resale,Strata,97,"12,887",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,11 to 15
THE MINTON,"1,490,000","1,216.33","1,225",May-21,HOUGANG STREET 11,Resale,Strata,113,"13,186",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
ARCHIPELAGO,"766,000",667.37,"1,148",May-21,BEDOK RESERVOIR ROAD,Resale,Strata,62,"12,355",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
JEWEL @ BUANGKOK,"1,000,000",775.01,"1,290",May-21,COMPASSVALE BOW,Resale,Strata,72,"13,889",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
KOVAN REGENCY,"870,000",624.31,"1,394",May-21,KOVAN RISE,Resale,Strata,58,"15,000",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
THE PANORAMA,"1,022,500",699.66,"1,461",May-21,ANG MO KIO AVENUE 2,Resale,Strata,65,"15,731",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,01 to 05
MY MANHATTAN,"1,740,000","1,442.38","1,206",May-21,SIMEI STREET 3,Resale,Strata,134,"12,985",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
RIPPLE BAY,"1,185,000","1,065.64","1,112",May-21,PASIR RIS LINK,Resale,Strata,99,"11,970",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,01 to 05
RIVERSAILS,"1,003,888",947.23,"1,060",May-21,UPPER SERANGOON CRESCENT,Resale,Strata,88,"11,408",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
VIBES@UPPER SERANGOON,"605,000",441.32,"1,371",May-21,UPPER SERANGOON ROAD,Resale,Strata,41,"14,756",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
JADESCAPE,"2,079,680","1,259.39","1,651",May-21,SHUNFU ROAD,New Sale,Strata,117,"17,775",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
RIVER ISLES,"1,280,000","1,227.1","1,043",May-21,EDGEDALE PLAINS,Resale,Strata,114,"11,228",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
WATERTOWN,"768,000",527.44,"1,456",May-21,PUNGGOL CENTRAL,Resale,Strata,49,"15,673",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
CARDIFF RESIDENCE,"775,000",624.31,"1,241",May-21,CARDIFF GROVE,Resale,Strata,58,"13,362",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
MELVILLE PARK,"890,000","1,345.5",661,May-21,SIMEI STREET 1,Resale,Strata,125,"7,120",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,01 to 05
MELVILLE PARK,"770,000","1,162.51",662,May-21,SIMEI STREET 1,Resale,Strata,108,"7,130",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,01 to 05
THE GARDENS AT BISHAN,"1,265,000","1,367.03",925,May-21,SIN MING WALK,Resale,Strata,127,"9,961",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,01 to 05
GRANDEUR PARK RESIDENCES,"1,050,000",667.37,"1,573",May-21,BEDOK SOUTH AVENUE 3,Sub Sale,Strata,62,"16,935",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,01 to 05
THE QUARTZ,"1,250,000","1,044.11","1,197",May-21,COMPASSVALE BOW,Resale,Strata,97,"12,887",-,Condominium,1,99 yrs lease commencing from 2005,19,Outside Central Region,16 to 20
GRANDEUR PARK RESIDENCES,"900,000",570.49,"1,578",May-21,BEDOK SOUTH AVENUE 3,Sub Sale,Strata,53,"16,981",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,01 to 05
A TREASURE TROVE,"858,000",775.01,"1,107",May-21,PUNGGOL WALK,Resale,Strata,72,"11,917",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE TROPICA,"1,120,000","1,237.86",905,May-21,TAMPINES AVENUE 1,Resale,Strata,115,"9,739",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,11 to 15
SAVANNAH CONDOPARK,"1,290,000","1,453.14",888,May-21,SIMEI RISE,Resale,Strata,135,"9,556",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05
THE GLADES,"1,324,000",925.7,"1,430",May-21,BEDOK RISE,Resale,Strata,86,"15,395",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,11 to 15
PARC OLYMPIA,"905,000",968.76,934,May-21,FLORA DRIVE,Resale,Strata,90,"10,056",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
COCO PALMS,"960,000",753.48,"1,274",May-21,PASIR RIS GROVE,Resale,Strata,70,"13,714",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
PARC CENTROS,"618,000",462.85,"1,335",May-21,PUNGGOL CENTRAL,Resale,Strata,43,"14,372",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
MELVILLE PARK,"644,000",958,672,May-21,SIMEI STREET 1,Resale,Strata,89,"7,236",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,01 to 05
RIVERSAILS,"955,000",882.65,"1,082",May-21,UPPER SERANGOON CRESCENT,Resale,Strata,82,"11,646",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
RIPPLE BAY,"1,210,000","1,162.51","1,041",May-21,PASIR RIS LINK,Resale,Strata,108,"11,204",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,11 to 15
