Attributes TYPE_CD,type_description,inc_crc,last_updated,longitude,latitude
TSTAND,TAXI STAND,D3523C17B2AE3D12,2022-01-27 10:59:13,103.895998104194,1.39265834114051
TSTAND,TAXI STAND,EA83FCAF51BFA342,2022-01-27 10:59:13,103.829891106948,1.45894682334924
TSTAND,TAXI STAND,A1F2D1A3AF724023,2022-01-27 10:59:13,103.845772829895,1.29133284406655
TSTOP,TAXI STOP,D60BD6FFA5D2EA97,2022-01-27 10:59:13,103.762255765187,1.4256142747539
TSTAND,TAXI STAND,F0982FBABB70F947,2022-01-27 10:59:13,103.845274573062,1.29170672084554
TSTAND,TAXI STAND,1FCEEA06506C1D82,2022-01-27 10:59:13,103.844051957894,1.28429452560733
TSTAND,TAXI STAND,36C27F1B987D600A,2022-01-27 10:59:13,103.843773679863,1.28597754892974
TSTOP,TAXI STOP,8A86F362D5749049,2022-01-27 10:59:13,103.843273632557,1.28345291322729
TSTOP,TAXI STOP,7A2F38F874307BA6,2022-01-27 10:59:13,103.848140264836,1.28896389371508
TSTAND,TAXI STAND,21A0B66531505217,2022-01-27 10:59:13,103.847481756164,1.28843046058513
TSTAND,TAXI STAND,548323B70DE8110F,2022-01-27 10:59:13,103.842152244687,1.28863630373489
TSTAND,TAXI STAND,8F045DC2EB6F553E,2022-01-27 10:59:13,103.846230414926,1.28880542055789
TSTAND,TAXI STAND,67B0466E588A21A7,2022-01-27 10:59:13,103.844040018805,1.28920456858763
TSTAND,TAXI STAND,1522332F3340FC07,2022-01-27 10:59:13,103.847426787832,1.28677772234607
TSTAND,TAXI STAND,8D70113C54E7A6F4,2022-01-27 10:59:13,103.848893781654,1.28796907519598
TPD,TAXI PICK UP / DROP OFF,6A613EEFBE4D68C7,2022-01-27 10:59:13,103.847616386545,1.28491187998711
TSTAND,TAXI STAND,F892781BC3761C81,2022-01-27 10:59:13,103.848810176693,1.28688656724994
TSTOP,TAXI STOP,3E3FE29F6416AD9E,2022-01-27 10:59:13,103.846673278105,1.28346964197307
TSTOP,TAXI STOP,728566095B4D408A,2022-01-27 10:59:13,103.852107912563,1.28519190631413
TSTAND,TAXI STAND,B83D2BAE2E2055AC,2022-01-27 10:59:13,103.851198093921,1.28823316798585
TSTOP,TAXI STOP,85DEE347813BF812,2022-01-27 10:59:13,103.851238932529,1.28345131770182
TSTOP,TAXI STOP,FC8CF9616FEAA365,2022-01-27 10:59:13,103.852736815557,1.28420476292159
TSTAND,TAXI STAND,06D246B5282367D5,2022-01-27 10:59:13,103.850273494477,1.28441342023434
TSTAND,TAXI STAND,1A10A2B40D97E5E0,2022-01-27 10:59:13,103.826886684134,1.30646919759978
TSTAND,TAXI STAND,3ECAD526A83819D8,2022-01-27 10:59:13,103.852748459367,1.29353055939668
TPD,TAXI PICK UP / DROP OFF,BA2C6A342E273ADC,2022-01-27 10:59:13,103.853766301101,1.29425981936371
TSTAND,TAXI STAND,C3C66A21F42EDB9A,2022-01-27 10:59:13,103.832675520542,1.28473835888998
TSTAND,TAXI STAND,7AEB79C4E4CC599A,2022-01-27 10:59:13,103.945224063456,1.35241407357462
TSTAND,TAXI STAND,873B6D7A5E7FE098,2022-01-27 10:59:13,103.821203457221,1.26587789285152
TSTAND,TAXI STAND,6B1E501EFE42A242,2022-01-27 10:59:13,103.901377015582,1.30384362594495
TSTAND,TAXI STAND,8F78C1F4C66C9D41,2022-01-27 10:59:13,103.807305865126,1.31738436147779
TSTAND,TAXI STAND,7CC0DAE8A157C99B,2022-01-27 10:59:13,103.725202658462,1.35009864037849
TSTOP,TAXI STOP,1845500E7BC3CE14,2022-01-27 10:59:13,103.829093966167,1.30719206830371
TSTOP,TAXI STOP,6E5D2F4688248DD0,2022-01-27 10:59:13,103.949567397024,1.37272868444844
TSTOP,TAXI STOP,B1B9C270E5B1390F,2022-01-27 10:59:13,103.848490884643,1.28593524697418
TPD,TAXI PICK UP / DROP OFF,A8DC7DC02750E814,2022-01-27 10:59:13,103.847482624517,1.27737387712504
TSTOP,TAXI STOP,2400D9A2B26EFEC7,2022-01-27 10:59:13,103.848900805687,1.27743521104211
TSTOP,TAXI STOP,14A3A5C239FF9965,2022-01-27 10:59:13,103.849842876425,1.27905252341681
TSTOP,TAXI STOP,232DCE84E119A2BE,2022-01-27 10:59:13,103.849394649872,1.27962397728558
TSTOP,TAXI STOP,0A800FA0EE283CE0,2022-01-27 10:59:13,103.848501793757,1.27813835898476
TPD,TAXI PICK UP / DROP OFF,EA1E80A577D78C7C,2022-01-27 10:59:13,103.855560059172,1.27664231952415
TSTAND,TAXI STAND,04674A0E56B23DEB,2022-01-27 10:59:13,103.845087402389,1.27836886434698
TSTAND,TAXI STAND,62CE38334E6D3C95,2022-01-27 10:59:13,103.922591200057,1.30820272076017
TSTAND,TAXI STAND,62E7E51E0F3AE4AC,2022-01-27 10:59:13,103.843737072096,1.27787730174042
TSTAND,TAXI STAND,68C8A9E08282347B,2022-01-27 10:59:13,103.895113700469,1.31723437632611
TSTAND,TAXI STAND,1AF87C41E5CF141A,2022-01-27 10:59:13,103.843165312952,1.2778439320358
TSTAND,TAXI STAND,03BF2CF80C2EA7E2,2022-01-27 10:59:13,103.844215379756,1.27875755522218
TSTOP,TAXI STOP,42BF2E935D419E20,2022-01-27 10:59:13,103.796775193221,1.33101885538854
TSTAND,TAXI STAND,DF56FCE5B1FFFBBA,2022-01-27 10:59:13,103.846128971966,1.27570136620303
TPD,TAXI PICK UP / DROP OFF,85DFE4565DC91E6F,2022-01-27 10:59:13,103.844904053855,1.27370385321129
TSTOP,TAXI STOP,996BE469B216ABEA,2022-01-27 10:59:13,103.842683370175,1.27417995437108
TSTOP,TAXI STOP,2317946346B1E787,2022-01-27 10:59:13,103.843317280773,1.2750522409303
TSTAND,TAXI STAND,793060F5DF267694,2022-01-27 10:59:13,103.843801578157,1.27344843092009
TSTAND,TAXI STAND,A6A4E384832F5518,2022-01-27 10:59:13,103.707067939835,1.32098062883138
TSTAND,TAXI STAND,8FA7CA198682891C,2022-01-27 10:59:13,103.827846438218,1.28665079631947
TSTAND,TAXI STAND,7F353D007035D2E1,2022-01-27 10:59:13,103.834085654409,1.27818104747199
TSTAND,TAXI STAND,4A49718784F369AD,2022-01-27 10:59:13,103.787973023751,1.3117799888436
TSTOP,TAXI STOP,EEC6CA9F5B100938,2022-01-27 10:59:13,103.840962756484,1.30258027023782
TSTAND,TAXI STAND,B98962F5ECB427AF,2022-01-27 10:59:13,103.839766932932,1.30116046158167
TSTOP,TAXI STOP,7BE3F97BDF7396F7,2022-01-27 10:59:13,103.864451471935,1.4190073419975
TSTAND,TAXI STAND,1ECB01E3C4F104A9,2022-01-27 10:59:13,103.859779576245,1.2671269569505
TSTOP,TAXI STOP,2EA5618B2EB6F986,2022-01-27 10:59:13,103.849821547974,1.28202698062841
TSTAND,TAXI STAND,71DB95CC928C217E,2022-01-27 10:59:13,103.820604710503,1.2646303319744
TSTAND,TAXI STAND,C0B7BFE56BAF18EC,2022-01-27 10:59:13,103.902206163616,1.40550803585798
TSTAND,TAXI STAND,84573FF24C6CB54A,2022-01-27 10:59:13,103.925469405115,1.33112556885396
TSTAND,TAXI STAND,52A9D5A73E58ACEA,2022-01-27 10:59:13,103.938959189839,1.31217165941739
TSTOP,TAXI STOP,E02C61941021231B,2022-01-27 10:59:13,103.837341398731,1.3137544538491
TSTAND,TAXI STAND,856CCC98E1406453,2022-01-27 10:59:13,103.775722618663,1.34319142376007
TSTAND,TAXI STAND,5D37F5B75990FFD1,2022-01-27 10:59:13,103.869339782227,1.33161461631455
TSTOP,TAXI STOP,A3F58BFA4D1E104E,2022-01-27 10:59:13,103.826285910985,1.31991920805156
TSTAND,TAXI STAND,8539D4B5D776AB4F,2022-01-27 10:59:13,103.775811460387,1.34218373462528
TSTAND,TAXI STAND,040FA3238D8837E7,2022-01-27 10:59:13,103.747523271325,1.39715707525351
TSTAND,TAXI STAND,70D2C6D03FAD64A6,2022-01-27 10:59:13,103.778883288403,1.33864363143302
TSTAND,TAXI STAND,F11DA4DD35FD82FA,2022-01-27 10:59:13,103.824532095636,1.44177413223189
TSTAND,TAXI STAND,06D0DD9CD7181FD1,2022-01-27 10:59:13,103.868937186683,1.33254275148026
TSTAND,TAXI STAND,5F1CBA98BC36AD08,2022-01-27 10:59:13,103.779163280601,1.31140266006157
TSTOP,TAXI STOP,C9512FEE2826E696,2022-01-27 10:59:13,103.761265291287,1.42186288844655
TPD,TAXI PICK UP / DROP OFF,9A08DE7959C63E4D,2022-01-27 10:59:13,103.819213377853,1.27155034304497
TSTAND,TAXI STAND,E9C0450F6E3DCD2A,2022-01-27 10:59:13,103.846320896921,1.32169606603044
TSTOP,TAXI STOP,FD22D27090A932EF,2022-01-27 10:59:13,103.841565863321,1.32512653321468
TSTAND,TAXI STAND,48FC1E2A1C974B73,2022-01-27 10:59:13,103.834414375617,1.30230535925359
TPD,TAXI PICK UP / DROP OFF,BBCE88F4598C804D,2022-01-27 10:59:13,103.835803737454,1.30202307255729
TSTAND,TAXI STAND,F935D36755C8F0F4,2022-01-27 10:59:13,103.832870253097,1.30376588052993
TSTAND,TAXI STAND,ED7460A892F46D18,2022-01-27 10:59:13,103.842393209218,1.29980452486984
TSTAND,TAXI STAND,CB9C1F1FBF50CE9E,2022-01-27 10:59:13,103.806405933658,1.29452122918272
TSTOP,TAXI STOP,4BC3C70533430149,2022-01-27 10:59:13,103.767220478915,1.36254448870908
TSTAND,TAXI STAND,70357F50FD61055C,2022-01-27 10:59:13,103.76415093514,1.3702772275766
TSTOP,TAXI STOP,B773C0310B7D60F1,2022-01-27 10:59:13,103.767620029329,1.3625159082495
TSTAND,TAXI STAND,DC6054CB61571702,2022-01-27 10:59:13,103.942607231199,1.35438636182877
TSTAND,TAXI STAND,B02A30CA00BAE8DC,2022-01-27 10:59:13,103.783071096203,1.3363257356337
TPD,TAXI PICK UP / DROP OFF,D942AFC986DE55CF,2022-01-27 10:59:13,103.961408466802,1.33403408071213
TSTAND,TAXI STAND,98C108FDA69EFBA2,2022-01-27 10:59:13,103.871159863846,1.32146688674613
TSTOP,TAXI STOP,8EC71BB5FB44BACF,2022-01-27 10:59:13,103.783241783936,1.33577311474139
TSTAND,TAXI STAND,536ED7A56BEF534E,2022-01-27 10:59:13,103.933394933667,1.3366099195231
TSTOP,TAXI STOP,4539F99DE488001D,2022-01-27 10:59:13,103.707115643046,1.33833458568329
TSTAND,TAXI STAND,2B688BAC65CDF419,2022-01-27 10:59:13,103.884589589006,1.35991042972577
TSTAND,TAXI STAND,551B8BAE347137D0,2022-01-27 10:59:13,103.933042867296,1.33636113367927
TSTAND,TAXI STAND,4804144711D6BB2A,2022-01-27 10:59:13,103.960921846219,1.33593293506593
TSTOP,TAXI STOP,B027AB43FF000614,2022-01-27 10:59:13,103.945655745158,1.32727592037108
TSTOP,TAXI STOP,BCD4F80DF86B51F9,2022-01-27 10:59:13,103.883868214686,1.32587727914218
TSTOP,TAXI STOP,268403CF215B98AB,2022-01-27 10:59:13,103.883143375657,1.32741225240023
TSTAND,TAXI STAND,78633B4F50E111A0,2022-01-27 10:59:13,103.844195443628,1.29230089342013
TSTAND,TAXI STAND,8EA2E419BA01181F,2022-01-27 10:59:13,103.84432681026,1.29286969854322
TSTOP,TAXI STOP,F42255BBBB0F0CDB,2022-01-27 10:59:13,103.938271913661,1.34578087501225
TSTOP,TAXI STOP,F04234D8005DBA78,2022-01-27 10:59:13,103.939138008856,1.34490972153504
TSTAND,TAXI STAND,EC5F12F40C9F8739,2022-01-27 10:59:13,103.850444549982,1.29913571418736
TSTAND,TAXI STAND,739564F40BD91D17,2022-01-27 10:59:13,103.90912566674,1.33473844441214
TSTAND,TAXI STAND,0BF9C063461B2CA3,2022-01-27 10:59:13,103.908454418857,1.33491645749181
TSTAND,TAXI STAND,080AA6C7119B720E,2022-01-27 10:59:13,103.954490055446,1.35636660561542
