Attributes ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,postal_code,street_address,ADDRESSTYPE,DESCRIPTION,website,LANDXADDRESSPOINT,LANDYADDRESSPOINT,facility_name,PHOTOURL,ADDRESSFLOORNUMBER,INC_CRC,last_updated,ADDRESSUNITNUMBER,longitude,latitude
,,091017,Blk 17A Telok Blangah Crescent #01-270 Singapore,,,http://www.downsyndrome-singapore.org,0,0,Down Syndrome Association,,,62488B6EFC4BEB0D,20121219111642,,103.821485560516,1.27714571666025
,,546190,29 Rosyth Road Singapore,,,http://www.minds.org.sg/IEDC,0,0,Movement for the Intellectually Disabled of Singapore (MINDS) Idea Employment Development Centre,,,A75298C0276CD4F5,20121219111644,,103.877757654517,1.36277822036695
,,397998,227 Mountbatten Road Singapore,,,http://www.ssd.edu.sg,0,0,Singapore School for the Deaf,,,CBECC49AD9F249DE,20121219111649,,103.879886320646,1.30762025848808
,,458686,1 Elliott Road Singapore,,,http://www.sach.org.sg,0,0,St Andrew's Autism School St Andrew's Autism Centre,,,430A9605781D3A0C,20121219111651,,103.930120930206,1.31120591944818
,,530627,Blk 627 Hougang Avenue 8 #01-130 Singapore,,,http://www.metta.org.sg,0,0,Metta Welfare Association Metta Day Activity Centre for the Intellectually Disabled,,,8846634F3DD5C9CB,20121122110133,,103.881883114324,1.36922941895959
,,397998,227 Mountbatten Road Singapore,,,http://www.sadeaf.org.sg,0,0,The Singapore Association for the Deaf SADeaf - Community Integration Support,,,CBECC49ABD7B6FC6,20121219111651,,103.879886320646,1.30762025848808
,,547532,11 Lorong Napiri ACCESS Building Singapore,,,http://www.awwa.org.sg,0,0,Asian Women's Welfare Association (AWWA) AWWA School,,,0845E2121EB95D31,20121122110133,,103.878744070732,1.37273748346619
,,556057,202 Serangoon Garden Way Singapore,,,http://www.cslmch.org.sg,0,0,Chen Su Lan Methodist Children's Home,,,226E3618B1FD9828,20121122110133,,103.86196652182,1.36844772249524
,,547533,7 Lorong Napiri Singapore,,,http://www.minds.org.sg,0,0,Movement for the Intellectually Disabled of Singapore (MINDS) MINDSville@Napiri - Children's Wing,,,5B0A4326394493D9,20121122110133,,103.878470820482,1.37201049307311
,,159052,No. 8 Lengkok Bahru #04-01 Family Link @ Lengkok Bahru Singapore,,,http://www.redcross.org.sg,0,0,Singapore Red Cross Society Red Cross Home for the Disabled,,,E34D6163A5961112,20121122110133,,103.811251369424,1.2864500139675
,,547531,9 Lorong Napiri Singapore,,,http://www.awwa.org.sg,0,0,Asian Women's Welfare Association (AWWA) AWWA TEACHME Services,,,0845E21246D82BAD,20121122110133,,103.878744070732,1.37273748346619
,,547532,11 Lorong Napiri Singapore,,,http://www.awwa.org.sg,0,0,Asian Women's Welfare Association (AWWA) AWWA Early Years Centre,,,0845E21231CE6590,20121122110133,,103.878744070732,1.37273748346619
,,120374,Blk 374 Clementi Avenue 4 #01-182 Singapore,,,http://www.autism.org.sg,0,0,Autism Association Singapore (AAS) Eden Children's Centre (Clementi),,,9C7FD0871F498E0F,20121122110133,,103.766982695558,1.31912691481594
,,520148,Blk 148 Simei Street 1 #01-121 Singapore,,,http://www.autism.org.sg,0,0,Autism Association Singapore (AAS) Eden Children's Centre (Simei),,,20360BAD03729445,20121122110133,,103.95593858677,1.34628745819335
,,397998,227 Mountbatten Road Singapore,,,http://www.sadeaf.org.sg,0,0,The Singapore Association for the Deaf SADeaf - Community Integration Support,,,CBECC49ABD7B6FC6,20121219111651,,103.879886320646,1.30762025848808
,,600101,Blk 101 Jurong East Street 13 #01-188 Singapore,,,http://www.fycs.org,0,0,Fei Yue Community Services (FYCS) Fei Yue Early Intervention Programme for Infants and Children Centre,,,CB0F11AF7116585A,20121122110133,,103.73877846939,1.33698520839022
