Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
EAST COAST PARK,"5,500,000","2,911.66","1,889",Sep-25,SIGLAP ROAD,Resale,Land,270.5,"20,333",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,550,000","2,390.68","1,903",Sep-25,LORONG 110 CHANGI,Resale,Land,222.1,"20,486",-,Terrace House,1,Freehold,15,Outside Central Region,-
FRANKEL ESTATE,"8,800,000","3,224.89","2,729",Sep-25,JEDBURGH GARDENS,Resale,Land,299.6,"29,372",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
OPERA ESTATE,"2,860,000","1,313.21","2,178",Sep-25,DAFNE STREET,Resale,Land,122,"23,443",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,100,000","3,912.71","1,559",Sep-25,LORONG MELAYU,Resale,Land,363.5,"16,781",-,Terrace House,1,Freehold,14,Outside Central Region,-
FRANKEL ESTATE,"5,200,000","1,579.08","3,293",Sep-25,CHEVIOT HILL,Resale,Land,146.7,"35,446",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,800,000","1,720.09","2,791",Sep-25,JALAN SELENDANG DELIMA,Resale,Land,159.8,"30,038",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,360,000","2,677.01","2,002",Sep-25,JALAN SENTOSA,Resale,Land,248.7,"21,552",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"2,820,000",949.38,"2,970",Sep-25,MANGIS ROAD,Resale,Land,88.2,"31,973",-,Terrace House,1,Freehold,15,Rest of Central Region,-
OPERA ESTATE,"8,208,888","3,002.08","2,734",Sep-25,AIDA STREET,Resale,Land,278.9,"29,433",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
SEASIDE PARK,"4,580,000","1,724.39","2,656",Sep-25,JALAN DONDANG SAYANG,Resale,Land,160.2,"28,589",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,900,000","2,673.78","2,955",Aug-25,WATTEN RISE,Resale,Land,248.4,"31,804",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
OPERA ESTATE,"3,918,000","2,013.94","1,945",Aug-25,FIDELIO STREET,Resale,Land,187.1,"20,941",-,Terrace House,1,Freehold,15,Outside Central Region,-
SENG YONG VILLAS,"4,488,000","1,963.35","2,286",Aug-25,JALAN GRISEK,Resale,Land,182.4,"24,605",-,Terrace House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"10,880,000","4,465.98","2,436",Aug-25,SOMMERVILLE WALK,Resale,Land,414.9,"26,223",-,Detached House,1,Freehold,13,Outside Central Region,-
SENNETT ESTATE,"6,850,000","3,475.7","1,971",Aug-25,BUTTERFLY AVENUE,Resale,Land,322.9,"21,214",-,Semi-Detached House,1,Freehold,13,Rest of Central Region,-
CAPITOL PARK,"55,000,000","13,906.01","3,955",Aug-25,CHEE HOON AVENUE,Resale,Land,"1,291.9","42,573",-,Detached House,1,Freehold,11,Core Central Region,-
OASIS @ MULBERRY,"4,838,000","1,702.86","2,841",Aug-25,BELIMBING AVENUE,Resale,Land,158.2,"30,582",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,438,800","1,743.77","2,546",Aug-25,FOWLIE ROAD,Resale,Land,162,"27,400",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,700,000","2,588.74","2,202",Aug-25,LORONG J TELOK KURAU,Resale,Land,240.5,"23,701",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,180,000","3,984.83","1,802",Aug-25,ELITE TERRACE,Resale,Land,370.2,"19,395",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,589,188","4,305.6","1,298",Aug-25,LENGKONG SATU,Resale,Land,400,"13,973",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
OPERA ESTATE,"3,888,000","2,006.41","1,938",Aug-25,FIDELIO STREET,Resale,Land,186.4,"20,858",-,Terrace House,1,Freehold,15,Outside Central Region,-
KIMNAN PARK,"5,800,000","3,373.44","1,719",Aug-25,JALAN SENYUM,Resale,Land,313.4,"18,507",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"17,000,000","5,337.87","3,185",Aug-25,HARLYN ROAD,Resale,Land,495.9,"34,281",-,Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"10,000,000","4,137.68","2,417",Aug-25,TREVOSE CRESCENT,Resale,Land,384.4,"26,015",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
DUNMAN GARDEN,"5,200,000","1,922.45","2,705",Aug-25,SWANAGE ROAD,Resale,Land,178.6,"29,115",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"16,500,000","5,320.65","3,101",Aug-25,HARLYN ROAD,Resale,Land,494.3,"33,381",-,Detached House,1,Freehold,11,Core Central Region,-
SENNETT ESTATE,"3,700,000","1,702.86","2,173",Aug-25,LICHI AVENUE,Resale,Land,158.2,"23,388",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,470,000","1,467.13","3,047",Aug-25,ONAN ROAD,Resale,Land,136.3,"32,795",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,280,000","2,008.56","2,131",Aug-25,JALAN GRISEK,Resale,Land,186.6,"22,937",-,Terrace House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"8,800,000","2,996.7","2,937",Aug-25,BUCKLEY ROAD,Resale,Land,278.4,"31,609",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,000,000","3,005.31","1,664",Aug-25,JALAN RIANG,Resale,Land,279.2,"17,908",-,Terrace House,1,Freehold,13,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,999,999","3,825.53","1,830",Aug-25,DUNMAN LANE,Resale,Land,355.4,"19,696",-,Detached House,1,Freehold,15,Rest of Central Region,-
YONG SENG ESTATE,"3,950,000","1,886.93","2,093",Aug-25,JALAN PARAS,Resale,Land,175.3,"22,533",-,Terrace House,1,Freehold,14,Outside Central Region,-
OASIS @ MULBERRY,"4,700,000","1,701.79","2,762",Aug-25,CHEMPAKA AVENUE,Resale,Land,158.1,"29,728",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"14,880,000","5,145.19","2,892",Aug-25,NAROOMA ROAD,Resale,Land,478,"31,130",-,Detached House,1,Freehold,11,Core Central Region,-
OPERA ESTATE,"3,980,000","1,720.09","2,314",Aug-25,TERANG BULAN AVENUE,Resale,Land,159.8,"24,906",-,Terrace House,1,Freehold,15,Outside Central Region,-
OPERA ESTATE,"3,390,000","1,599.53","2,119",Aug-25,ERNANI STREET,Resale,Land,148.6,"22,813",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,960,000","3,658.68","1,902",Aug-25,SALLIM ROAD,Resale,Land,339.9,"20,477",-,Semi-Detached House,1,Freehold,14,Rest of Central Region,-
YONG SENG ESTATE,"7,300,000","7,004.13","1,042",Aug-25,JALAN PARAS,Resale,Land,650.7,"11,219",-,Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,850,000","4,182.89","1,877",Aug-25,SALLIM ROAD,Resale,Land,388.6,"20,201",-,Semi-Detached House,1,Freehold,14,Rest of Central Region,-
SANNY PARK,"6,180,000","1,656.58","3,731",Aug-25,MERRYN TERRACE,Resale,Land,153.9,"40,156",-,Terrace House,1,Freehold,11,Core Central Region,-
DUNEARN ESTATE,"11,600,000","5,121.51","2,265",Aug-25,KHEAM HOCK ROAD,Resale,Land,475.8,"24,380",-,Detached House,1,Freehold,11,Core Central Region,-
MACPHERSON GARDEN ESTATE,"2,350,000",988.14,"2,378",Aug-25,JALAN GEMBIRA,Resale,Land,91.8,"25,599",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,500,000","3,597.33","1,529",Aug-25,JALAN PUNAI,Resale,Land,334.2,"16,457",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,980,000","1,530.64","2,600",Aug-25,CARPMAEL ROAD,Resale,Land,142.2,"27,989",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"11,880,000","4,205.49","2,825",Aug-25,JALAN UNGGAS,Resale,Land,390.7,"30,407",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"8,528,000","3,881.5","2,197",Aug-25,HAIG LANE,Resale,Land,360.6,"23,649",-,Semi-Detached House,1,Freehold,15,Rest of Central Region,-
KEMBANGAN ESTATE,"3,900,000","2,055.92","1,897",Aug-25,LORONG SALLEH,Resale,Land,191,"20,419",-,Terrace House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,600,000","1,569.39","2,294",Aug-25,DUKU ROAD,Resale,Land,145.8,"24,691",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,600,000","1,885.85","2,439",Jul-25,CARPMAEL ROAD,Resale,Land,175.2,"26,256",-,Terrace House,1,Freehold,15,Rest of Central Region,-
SENNETT ESTATE,"7,850,000","3,180.76","2,468",Jul-25,JALAN KEMBOJA,Resale,Land,295.5,"26,565",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,500,000","2,447.73","2,247",Jul-25,DUNMAN LANE,Resale,Land,227.4,"24,186",-,Terrace House,1,Freehold,15,Rest of Central Region,-
FRANKEL ESTATE,"6,908,000","3,277.64","2,108",Jul-25,SIGLAP PLAIN,Resale,Land,304.5,"22,686",-,Terrace House,1,Freehold,15,Outside Central Region,-
OPERA ESTATE,"5,750,000","2,591.97","2,218",Jul-25,JALAN TERANG BULAN,Resale,Land,240.8,"23,879",-,Terrace House,1,Freehold,15,Outside Central Region,-
DUNEARN ESTATE,"16,380,000","5,384.15","3,042",Jul-25,HARLYN ROAD,Resale,Land,500.2,"32,747",-,Detached House,1,Freehold,11,Core Central Region,-
DAISY PARK,"3,750,000","1,659.81","2,259",Jul-25,DAISY AVENUE,Resale,Land,154.2,"24,319",-,Terrace House,1,Freehold,13,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,851,000","1,689.95","2,279",Jul-25,JALAN KRIAN,Resale,Land,157,"24,529",-,Terrace House,1,Freehold,14,Outside Central Region,-
SENNETT ESTATE,"3,480,000","1,500.5","2,319",Jul-25,MULBERRY AVENUE,Resale,Land,139.4,"24,964",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,050,000","2,692.08","2,247",Jul-25,LENGKONG DUA,Resale,Land,250.1,"24,190",-,Terrace House,1,Freehold,14,Outside Central Region,-
OPERA ESTATE,"8,288,000","2,997.77","2,765",Jul-25,AIDA STREET,Resale,Land,278.5,"29,759",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"8,800,000","2,152.8","4,088",Jul-25,KHEAM HOCK ROAD,New Sale,Land,200,"44,000",-,Terrace House,1,Freehold,11,Core Central Region,-
SENNETT ESTATE,"2,700,000",993.52,"2,718",Jul-25,PANG SENG ROAD,Resale,Land,92.3,"29,252",-,Terrace House,1,Freehold,13,Rest of Central Region,-
OPERA ESTATE,"4,380,000","1,677.03","2,612",Jul-25,JALAN BANGSAWAN,Resale,Land,155.8,"28,113",-,Terrace House,1,Freehold,15,Outside Central Region,-
FRANKEL ESTATE,"6,600,000","2,290.58","2,881",Jul-25,SIGLAP WALK,Resale,Land,212.8,"31,015",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,400,000","3,118.33","1,732",Jul-25,LORONG G TELOK KURAU,Resale,Land,289.7,"18,640",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,166,000","1,615.68","2,578",Jul-25,MUGLISTON ROAD,Resale,Land,150.1,"27,755",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,150,000","1,729.77","3,555",Jul-25,JOO CHIAT TERRACE,Resale,Land,160.7,"38,270",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,850,000","3,017.15","1,607",Jul-25,HAIG ROAD,Resale,Land,280.3,"17,303",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,250,000","4,182.89","1,494",Jul-25,JALAN RAHMAT,Resale,Land,388.6,"16,083",-,Detached House,1,Freehold,14,Outside Central Region,-
SENNETT ESTATE,"3,280,000","1,340.12","2,448",Jul-25,JALAN WANGI,Resale,Land,124.5,"26,345",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,300,000","2,222.77","2,384",Jul-25,EAST COAST AVENUE,Resale,Land,206.5,"25,666",-,Terrace House,1,Freehold,15,Outside Central Region,-
OPERA ESTATE,"4,638,888","2,794.33","1,660",Jul-25,FIDELIO STREET,Resale,Land,259.6,"17,869",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,250,000","1,665.19","3,153",Jul-25,LORONG M TELOK KURAU,Resale,Land,154.7,"33,937",-,Terrace House,1,Freehold,15,Outside Central Region,-
SENNETT ESTATE,"3,500,000","1,500.5","2,333",Jul-25,KEE CHOE AVENUE,Resale,Land,139.4,"25,108",-,Terrace House,1,Freehold,13,Rest of Central Region,-
OPERA ESTATE,"9,200,000","5,780.27","1,592",Jul-25,AIDA STREET,Resale,Land,537,"17,132",-,Detached House,1,Freehold,15,Outside Central Region,-
SOUTH UNION PARK,"3,700,000","1,656.58","2,234",Jul-25,ELITE PARK AVENUE,Resale,Land,153.9,"24,042",-,Terrace House,1,Freehold,15,Outside Central Region,-
WATTEN ESTATE,"7,800,000","3,302.4","2,362",Jul-25,WATTEN DRIVE,Resale,Land,306.8,"25,424",-,Terrace House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"6,880,000","3,609.17","1,906",Jul-25,ELLIOT WALK,Resale,Land,335.3,"20,519",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,590,000","1,694.25","2,709",Jul-25,LORONG SARINA,Resale,Land,157.4,"29,161",-,Terrace House,1,Freehold,14,Outside Central Region,-
FAME COURT,"3,990,000","2,782.49","1,434",Jul-25,ELITE PARK AVENUE,Resale,Land,258.5,"15,435",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,150,000","1,736.23","2,390",Jul-25,TELOK KURAU ROAD,Resale,Land,161.3,"25,728",-,Terrace House,1,Freehold,15,Outside Central Region,-
SENNETT ESTATE,"3,160,000","1,500.5","2,106",Jul-25,MACPHERSON ROAD,Resale,Land,139.4,"22,669",-,Terrace House,1,Freehold,13,Rest of Central Region,-
SENNETT ESTATE,"5,200,000","2,476.8","2,099",Jul-25,WAN THO AVENUE,Resale,Land,230.1,"22,599",-,Semi-Detached House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,220,000","1,532.79","2,753",Jul-25,ST. MICHAEL'S ROAD,Resale,Land,142.4,"29,635",-,Terrace House,1,Freehold,12,Rest of Central Region,-
OPERA ESTATE,"4,400,000","1,711.48","2,571",Jul-25,AIDA STREET,Resale,Land,159,"27,673",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,100,000","4,049.42","1,506",Jul-25,HAPPY AVENUE CENTRAL,Resale,Land,376.2,"16,215",-,Semi-Detached House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,248,888","2,038.7","2,084",Jul-25,PULASAN ROAD,Resale,Land,189.4,"22,433",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,050,000","2,529.54","2,392",Jul-25,NALLUR ROAD,Resale,Land,235,"25,745",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,948,000","2,915.97","2,040",Jul-25,LORONG J TELOK KURAU,Resale,Land,270.9,"21,956",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
CAPITOL PARK,"8,780,000","3,764.17","2,333",Jul-25,UNIVERSITY ROAD,Resale,Land,349.7,"25,107",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"15,550,000","7,070.87","2,199",Jul-25,POOLE ROAD,Resale,Land,656.9,"23,672",-,Detached House,1,Freehold,15,Rest of Central Region,-
OPERA ESTATE,"6,828,000","4,205.49","1,624",Jul-25,CARMEN STREET,Resale,Land,390.7,"17,476",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,700,000","1,869.71","1,979",Jul-25,JALAN SENANG,Resale,Land,173.7,"21,301",-,Terrace House,1,Freehold,14,Outside Central Region,-
SENNETT ESTATE,"2,550,000","1,009.66","2,526",Jul-25,WAN THO AVENUE,Resale,Land,93.8,"27,186",-,Terrace House,1,Freehold,13,Rest of Central Region,-
YONG SENG ESTATE,"4,850,000","1,888.01","2,569",Jul-25,JALAN SENANG,Resale,Land,175.4,"27,651",-,Terrace House,1,Freehold,14,Outside Central Region,-
SEAVIEW PARK,"11,650,000","5,055.85","2,304",Jul-25,JALAN SEAVIEW,Resale,Land,469.7,"24,803",-,Detached House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,400,000","1,891.23","2,327",Jul-25,LANGSAT ROAD,Resale,Land,175.7,"25,043",-,Terrace House,1,Freehold,15,Rest of Central Region,-
BRADDELL HEIGHTS ESTATE,"7,000,000","4,751.23","1,473",Jul-25,MACKERROW ROAD,Resale,Land,441.4,"15,859",-,Semi-Detached House,1,Freehold,13,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,525,000","2,381","1,900",Jul-25,WOO MON CHEW ROAD,Resale,Land,221.2,"20,457",-,Terrace House,1,Freehold,15,Outside Central Region,-
FRANKEL ESTATE,"3,550,000","1,784.67","1,989",Jul-25,CARLTON AVENUE,Resale,Land,165.8,"21,411",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,050,000","2,144.19","2,355",Jul-25,EAST COAST ROAD,Resale,Land,199.2,"25,351",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"8,000,000","5,676.93","1,409",Jul-25,LORONG N TELOK KURAU,Resale,Land,527.4,"15,169",-,Detached House,1,Freehold,15,Outside Central Region,-
KEMBANGAN ESTATE,"5,250,000","2,153.88","2,437",Jul-25,JALAN ISMAIL,Resale,Land,200.1,"26,237",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,750,000","1,534.95","3,095",Jul-25,LORONG STANGEE,Resale,Land,142.6,"33,310",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"10,680,000","7,110.7","1,502",Jun-25,SIANG KUANG AVENUE,Resale,Land,660.6,"16,167",-,Detached House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,750,000","2,964.41","2,277",Jun-25,DUNEARN ROAD,Resale,Land,275.4,"24,510",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
MACPHERSON GARDEN ESTATE,"2,810,000","1,297.06","2,166",Jun-25,JALAN HIBORAN,Resale,Land,120.5,"23,320",-,Terrace House,1,Freehold,13,Rest of Central Region,-
OPERA ESTATE,"3,100,000","2,671.62","1,160",Jun-25,DIDO STREET,Resale,Land,248.2,"12,490",-,Terrace House,1,Freehold,15,Outside Central Region,-
MACPHERSON GARDEN ESTATE,"2,690,000",970.91,"2,771",Jun-25,JALAN KEMAJUAN,Resale,Land,90.2,"29,823",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,800,000","1,799.74","2,111",Jun-25,MANGIS ROAD,Resale,Land,167.2,"22,727",-,Terrace House,1,Freehold,15,Rest of Central Region,-
THE CARRARA,"8,277,777","2,669.47","3,101",Jun-25,MOUNTBATTEN ROAD,New Sale,Land,248,"33,378",-,Semi-Detached House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"7,580,000","2,795.41","2,712",Jun-25,LORONG 108 CHANGI,New Sale,Land,259.7,"29,188",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,000,000","2,364.85","2,114",Jun-25,TANNERY LANE,Resale,Land,219.7,"22,758",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"8,380,000","3,304.55","2,536",Jun-25,PALM AVENUE,Resale,Land,307,"27,296",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
OPERA ESTATE,"6,500,000","3,003.16","2,164",Jun-25,CARMEN STREET,Resale,Land,279,"23,297",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
CALDECOTT HILL ESTATE,"30,000,000","14,499.11","2,069",Jun-25,JOAN ROAD,Resale,Land,"1,347","22,272",-,Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"6,365,000","4,020.35","1,583",Jun-25,JOO CHIAT LANE,Resale,Land,373.5,"17,041",-,Semi-Detached House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,180,000","2,501.55","2,071",Jun-25,JALAN SENANG,Resale,Land,232.4,"22,289",-,Terrace House,1,Freehold,14,Outside Central Region,-
SERANGOON PARK,"5,338,888","3,815.84","1,399",Jun-25,JALAN RIANG,Resale,Land,354.5,"15,060",-,Semi-Detached House,1,Freehold,13,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,880,000","1,555.4","3,780",Jun-25,TENG TONG ROAD,Resale,Land,144.5,"40,692",-,Terrace House,1,Freehold,15,Rest of Central Region,-
SENNETT ESTATE,"3,915,000","2,036.55","1,922",Jun-25,BELIMBING AVENUE,Resale,Land,189.2,"20,692",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,500,000","3,009.61","1,495",Jun-25,JALAN GIRANG,Resale,Land,279.6,"16,094",-,Terrace House,1,Freehold,13,Outside Central Region,-
SENNETT ESTATE,"3,150,900","1,340.12","2,351",Jun-25,JALAN WANGI,Resale,Land,124.5,"25,308",-,Terrace House,1,Freehold,13,Rest of Central Region,-
