Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
WATERVIEW,"1,428,000","1,140.98","1,252",Apr-23,TAMPINES AVENUE 1,Resale,Strata,106,"13,472",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
HEDGES PARK CONDOMINIUM,"1,320,000","1,087.16","1,214",Apr-23,FLORA DRIVE,Resale,Strata,101,"13,069",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05
GRANDEUR PARK RESIDENCES,"1,250,000",667.37,"1,873",Apr-23,BEDOK SOUTH AVENUE 3,Resale,Strata,62,"20,161",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,11 to 15
THOMSON GRAND,"2,350,000","1,367.03","1,719",Apr-23,SIN MING WALK,Resale,Strata,127,"18,504",-,Condominium,1,99 yrs lease commencing from 2010,20,Rest of Central Region,11 to 15
BISHAN POINT,"1,320,000",936.47,"1,410",Apr-23,BRIGHT HILL DRIVE,Resale,Strata,87,"15,172",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,16 to 20
RIVERSAILS,"1,190,000",914.94,"1,301",Apr-23,UPPER SERANGOON CRESCENT,Resale,Strata,85,"14,000",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
Q BAY RESIDENCES,"1,120,000",796.54,"1,406",Apr-23,TAMPINES STREET 86,Resale,Strata,74,"15,135",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15
RIO VISTA,"1,500,000","1,377.79","1,089",Apr-23,UPPER SERANGOON VIEW,Resale,Strata,128,"11,719",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,06 to 10
EVERGREEN PARK,"1,320,000","1,367.03",966,Apr-23,HOUGANG AVENUE 7,Resale,Strata,127,"10,394",-,Apartment,1,99 yrs lease commencing from 1995,19,Outside Central Region,01 to 05
RIS GRANDEUR,"1,350,000","1,065.64","1,267",Apr-23,ELIAS ROAD,Resale,Strata,99,"13,636",-,Condominium,1,Freehold,18,Outside Central Region,06 to 10
BOATHOUSE RESIDENCES,"1,380,000","1,119.46","1,233",Apr-23,UPPER SERANGOON VIEW,Resale,Strata,104,"13,269",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
RIVERFRONT RESIDENCES,"1,200,000",721.19,"1,664",Apr-23,HOUGANG AVENUE 7,Sub Sale,Strata,67,"17,910",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
BARTLEY VUE,"2,509,000","1,356.26","1,850",Apr-23,JALAN BUNGA RAMPAI,New Sale,Strata,126,"19,913",-,Apartment,1,99 yrs lease commencing from 2020,19,Rest of Central Region,01 to 05
THE PALETTE,"1,820,000","1,377.79","1,321",Apr-23,PASIR RIS GROVE,Resale,Strata,128,"14,219",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
LA FIESTA,"1,050,000",753.48,"1,394",Apr-23,SENGKANG SQUARE,Resale,Strata,70,"15,000",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
RIO VISTA,"1,320,000","1,248.62","1,057",Apr-23,UPPER SERANGOON VIEW,Resale,Strata,116,"11,379",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,11 to 15
RIPPLE BAY,"710,000",538.2,"1,319",Apr-23,PASIR RIS LINK,Resale,Strata,50,"14,200",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
THE CLEARWATER,"1,630,000","1,377.79","1,183",Apr-23,BEDOK RESERVOIR VIEW,Resale,Strata,128,"12,734",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
CHERRYHILL,"1,498,000","1,044.11","1,435",Apr-23,LORONG LEW LIAN,Resale,Strata,97,"15,443",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
WATERVIEW,"1,320,000",925.7,"1,426",Apr-23,TAMPINES AVENUE 1,Resale,Strata,86,"15,349",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
COSTA DEL SOL,"3,200,000","1,560.78","2,050",Apr-23,BAYSHORE ROAD,Resale,Strata,145,"22,069",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
REGENTVILLE,"1,200,000","1,076.4","1,115",Apr-23,HOUGANG STREET 92,Resale,Strata,100,"12,000",-,Apartment,1,99 yrs lease commencing from 1996,19,Outside Central Region,06 to 10
THE LUXURIE,"1,418,000",968.76,"1,464",Apr-23,COMPASSVALE ROAD,Resale,Strata,90,"15,756",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
ESTELLA GARDENS,"1,540,000","1,291.68","1,192",Apr-23,FLORA ROAD,Resale,Strata,120,"12,833",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
MY MANHATTAN,"1,430,000","1,076.4","1,329",Apr-23,SIMEI STREET 3,Resale,Strata,100,"14,300",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
COCO PALMS,"1,442,000",914.94,"1,576",Apr-23,PASIR RIS GROVE,Resale,Strata,85,"16,965",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
UBER 388,"1,500,000",850.36,"1,764",Apr-23,UPPER EAST COAST ROAD,Resale,Strata,79,"18,987",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
STRATFORD COURT,"1,338,000","1,345.5",994,Apr-23,BEDOK RIA CRESCENT,Resale,Strata,125,"10,704",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
THE GAZANIA,"3,158,000","1,743.77","1,811",Apr-23,HOW SUN DRIVE,New Sale,Strata,162,"19,494",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
BARTLEY RESIDENCES,"1,675,000","1,065.64","1,572",Apr-23,LORONG HOW SUN,Resale,Strata,99,"16,919",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
SUNHAVEN,"1,288,000","1,065.64","1,209",Apr-23,UPPER CHANGI ROAD EAST,Resale,Strata,99,"13,010",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
PARC CENTROS,"1,950,000","1,313.21","1,485",Apr-23,PUNGGOL CENTRAL,Resale,Strata,122,"15,984",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
BAYSHORE PARK,"1,250,000",936.47,"1,335",Apr-23,BAYSHORE ROAD,Resale,Strata,87,"14,368",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,16 to 20
KINGSFORD WATERBAY,"1,010,000",850.36,"1,188",Apr-23,UPPER SERANGOON VIEW,Resale,Strata,79,"12,785",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"1,080,000",731.95,"1,476",Apr-23,HOUGANG AVENUE 7,Sub Sale,Strata,68,"15,882",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
RIVER ISLES,"1,438,000","1,173.28","1,226",Apr-23,EDGEDALE PLAINS,Resale,Strata,109,"13,193",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
THE QUARTZ,"1,790,000","1,420.85","1,260",Apr-23,COMPASSVALE BOW,Resale,Strata,132,"13,561",-,Condominium,1,99 yrs lease commencing from 2005,19,Outside Central Region,01 to 05
STARS OF KOVAN,"1,770,000",958,"1,848",Apr-23,UPPER SERANGOON ROAD,Resale,Strata,89,"19,888",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10
RESIDENTIAL APARTMENTS,"2,268,000","2,238.91","1,013",Apr-23,FLOWER ROAD,Resale,Strata,208,"10,904",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
FAR HORIZON GARDENS,"2,050,000","2,002.1","1,024",Apr-23,ANG MO KIO AVENUE 9,Resale,Strata,186,"11,022",-,Condominium,1,99 yrs lease commencing from 1982,20,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"1,025,000",613.55,"1,671",Apr-23,HOUGANG AVENUE 7,Sub Sale,Strata,57,"17,982",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
AQUARIUS BY THE PARK,"1,070,000",893.41,"1,198",Apr-23,BEDOK RESERVOIR VIEW,Resale,Strata,83,"12,892",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,06 to 10
RIPPLE BAY,"1,280,000","1,054.87","1,213",Apr-23,PASIR RIS LINK,Resale,Strata,98,"13,061",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,01 to 05
GRANDEUR PARK RESIDENCES,"1,250,000",667.37,"1,873",Apr-23,BEDOK SOUTH AVENUE 3,Resale,Strata,62,"20,161",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,01 to 05
